ID,shap_LIMIT_BAL,shap_AGE,shap_PAY_0,shap_PAY_2,shap_PAY_3,shap_PAY_4,shap_PAY_5,shap_PAY_6,shap_BILL_AMT1,shap_BILL_AMT2,shap_BILL_AMT3,shap_BILL_AMT4,shap_BILL_AMT5,shap_BILL_AMT6,shap_PAY_AMT1,shap_PAY_AMT2,shap_PAY_AMT3,shap_PAY_AMT4,shap_PAY_AMT5,shap_PAY_AMT6,shap_UTIL_AVG,shap_UTIL_MAX,shap_UTIL_MIN,shap_UTIL_LATEST,shap_UTIL_VOLATILITY,shap_UTIL_TREND,shap_PAYCOV_AVG,shap_PAYCOV_LATEST,shap_PAYCOV_TREND,shap_N_MONTHS_DELINQUENT,shap_MAX_DELINQUENCY,shap_AVG_DELINQUENCY_SEVERITY,shap_RECENT_DELINQUENCY,shap_SEVERE_DELINQUENCY_FLAG,shap_PERSISTENT_DELINQUENCY_FLAG,shap_BILL_AVG,shap_BILL_LATEST,shap_BILL_MAX,shap_BILL_TREND,shap_BILL_VOLATILITY,shap_PAYAMT_AVG,shap_PAYAMT_LATEST,shap_PAYAMT_MAX,shap_PAYAMT_TREND,shap_PAYAMT_VOLATILITY,shap_BALANCE_TO_LIMIT_LATEST,shap_PAYMENT_CAPACITY,shap_UTILIZATION_STRESS_FLAG,shap_SEX_1,shap_SEX_2,shap_EDUCATION_1,shap_EDUCATION_2,shap_EDUCATION_3,shap_EDUCATION_4,shap_MARRIAGE_1,shap_MARRIAGE_2,shap_MARRIAGE_3
10741,-0.013560057,0.033727683,-0.06776033,-0.012518817,-0.005695586,0.0040947124,0.003269676,0.0092545925,0.1671724,-0.02104134,-0.052988887,-0.04439564,0.024756208,-0.014535037,0.055391766,0.04645176,0.18664542,-0.0070487987,-0.008519117,0.07113921,-0.04873103,-0.0043065874,-0.07523494,-0.045850884,-0.022340015,0.0035205116,-0.11002192,-0.01465042,-0.0012552943,0.16349572,-0.090303496,-0.17348173,0.024502585,-1.2898648e-05,0.0,0.07684149,0.041368444,-0.016285049,0.14564827,0.10126927,0.026332865,-0.0018382485,-0.07289381,0.013854558,0.023696147,-0.009041273,0.018050538,-0.0033272319,0.022480551,0.016604872,7.9480815e-05,0.004762765,0.0069568017,0.010986033,0.0067876657,0.03856696,1.3570953e-05
28140,-0.090330824,0.010710033,-0.21050042,-0.02973951,-0.042903304,-0.033279218,-0.023109889,0.031938493,0.06060239,0.033579677,0.023831602,-0.0014318738,-0.074296266,-0.016281834,-0.0061823786,-0.038028937,-0.04120078,0.12198382,0.00234535,0.058337916,-0.098145925,-0.0067621795,-0.002421528,-0.04078927,-0.0904995,-0.055125706,0.05667501,-0.2433703,0.039351176,-0.14768814,-0.17570196,-0.11064129,-0.027367925,-1.0573772e-05,0.0,0.065315425,0.011853155,-0.020195033,-0.056759045,-0.081064574,-0.033995554,0.0025402005,-0.04982736,-0.052885704,0.042915713,-0.018423261,-0.041387066,-0.0013653842,-0.00035853664,0.0018093457,-0.002823864,-0.011443336,0.0075912727,0.010330775,0.0137201715,0.049049955,5.3019357e-06
25331,-0.049017917,-0.026907034,-0.25262868,0.0004816447,0.00644595,0.0033824213,0.002935653,-0.004126484,-0.11106048,-0.024767483,0.0203002,-0.0033624093,-0.0727769,0.02200868,-0.07149464,-0.038168263,-0.07195711,-0.008622775,0.0019024152,-0.04065331,-0.040232092,-0.054805174,0.0021039175,-0.028074391,-0.0064042076,-0.020734433,-0.0020453325,-0.0083121,0.025224572,-0.18333033,-0.23125868,-0.13866301,-0.028459627,-1.0573772e-05,0.0,-0.11888157,-0.027375283,-0.03829792,-0.050354164,0.0012357102,-0.029969249,0.0020089007,-0.05736477,-0.025033344,-0.04108975,0.021628032,0.0187261,-0.0013653842,-0.023845414,-0.007870687,-0.0025534877,-0.01270522,0.0053525255,0.0072707427,-0.012032957,-0.033044618,1.4581801e-06
27284,-0.07546781,-0.018327823,-0.24346754,0.00036209656,0.00441043,0.0038245318,0.0028081206,-0.0031585982,-0.085036635,-0.038215473,0.038291074,0.018574504,-0.0013670698,0.0016906448,-0.10886029,-0.16473584,-0.084641345,-0.045018237,-0.04887868,-0.063696004,0.042299323,-0.034231983,0.016304793,-0.0027887071,-0.030565392,0.009392346,0.10387268,0.07327425,-0.023620656,-0.18337664,-0.23819618,-0.14275384,-0.030867435,-1.0573772e-05,0.0,-0.038097277,-0.011986036,-0.011652884,0.122547895,-0.055743463,-0.053552676,0.0002491451,-0.064030915,-0.017457569,-0.04758438,0.027394893,-0.024818758,-0.0016210396,0.043724153,0.008882582,-0.0021716,-0.012568076,0.0054845437,0.0098162405,-0.012900406,-0.04841194,5.1900215e-06
27774,-0.0017920926,-0.046541683,0.7880739,0.0024038022,-0.20514208,0.009442442,0.0009961345,-0.015706316,0.07544471,-0.038697813,0.017603854,-0.0077406103,-0.064418815,0.008361396,0.046799228,0.008626593,-0.054670297,-0.036174234,-0.006167269,-0.036257263,-0.03593486,0.034850445,-0.2345536,-0.022309618,0.010138787,0.043332197,-0.14870986,-0.013930339,0.044713106,0.26127145,0.47367182,0.19933718,0.025347976,-1.0573772e-05,0.0,0.022052085,0.004757288,-0.015223552,0.13573055,-0.033486538,-0.018757794,-0.001987251,-0.058269482,0.003100126,0.027487166,-0.0085789515,0.006650912,-0.00375652,-0.020775529,-0.013306737,-0.0026752455,0.0064288946,0.0046692374,0.011147414,0.0221829,0.051842175,0.00033230815
9917,-0.035200194,-0.06626904,-0.14252932,-0.026715659,-0.010133809,0.008645729,0.0075130714,-0.035594713,0.09793602,0.0017374053,-0.024285745,-0.006439917,-0.028727582,0.0055672475,0.04187648,-0.047394622,-0.14815012,-0.086130045,-0.09820256,-0.06037861,-0.061351653,-0.0093579,5.0223432e-05,-0.040968806,-0.016822359,0.021062637,-0.085796766,0.02555864,0.0645157,-0.177653,-0.20990293,-0.13669278,-0.022165107,-1.0573772e-05,0.0,0.08535101,0.014240214,-0.038360305,0.16203828,0.006760566,-0.006794182,0.012376728,-0.04797859,-0.16080144,0.051414292,-0.019967154,0.008441497,-0.0013653842,-0.004722888,-0.006269158,-0.0023571914,-0.012945725,0.005714721,0.011036777,-0.022255694,-0.035611868,1.3570953e-05
20751,-0.062247235,0.020878421,-0.079294115,-0.019136265,-0.04819224,0.0051883096,0.0070635183,0.04873527,0.18207917,-0.011970364,0.04270423,-0.011069152,0.048933174,-0.024476307,0.037969597,0.002804328,0.10738567,0.033914343,-0.018193081,0.06179487,-0.018521316,-0.037412938,-0.0041037495,-0.047863413,-0.0699975,-0.0007965848,0.026932148,-0.019119158,0.13876216,-0.14938292,-0.16633181,-0.117500745,-0.017390762,-7.922725e-06,0.0,0.070021056,0.04498824,0.024018656,-0.0013820094,0.1313845,0.057114843,-0.0022182679,-0.039333872,-0.046837308,-0.0036586549,-0.021571836,0.006991908,-0.001376457,0.0045167813,0.011577102,9.0518064e-05,0.004944817,0.0048358855,0.0093214465,0.0059798774,0.050758317,-5.053689e-07
13873,0.07269835,-0.061062794,1.0371755,-0.0011198225,0.022515867,0.009525295,-0.0012486441,-0.011092088,-0.04827937,-0.011259941,-0.026973221,-0.007594768,-0.0659467,0.013537686,-0.108093254,-0.04052351,-0.030563187,-0.031222802,-0.0012555125,0.06510824,0.0023869546,0.030604873,0.02544756,-0.018329097,-0.002628478,-0.0010883682,0.012529044,-0.025402099,-0.015545702,0.25314096,0.4557486,0.030371469,0.0440121,-1.0573772e-05,0.0,-0.041882496,-0.012315321,-0.02515369,0.026592365,-0.057617072,-0.0032024852,0.0033523226,0.00014565204,0.13198961,0.04791636,-0.0067381803,0.2020572,-0.005922408,0.0038472887,0.0061755413,-0.0034558375,0.007485894,0.0076927035,0.009295508,-0.022092972,-0.055894893,5.946376e-05
5955,-0.10264553,-0.061047867,-0.25291935,0.0002630719,0.0072840517,0.003900389,0.0041328697,-0.0018202451,-0.13013253,-0.034635097,0.00428984,-0.024049183,-0.07606672,-3.7318794e-05,-0.08745449,-0.022149507,-0.012752289,-0.049294822,-0.055512253,-0.08997217,0.011076785,-0.04834407,0.01721229,-0.06412822,-0.057741296,0.015655406,-0.075346515,-0.019827323,-0.0041034156,-0.19018777,-0.25090212,-0.14200905,-0.029787486,-1.0573772e-05,0.0,-0.056011,-0.021511637,-0.02959174,0.13545819,-0.090812154,-0.10620346,0.011338709,-0.10072034,0.03437499,-0.13421744,-0.01465247,-0.014831588,-0.0016210396,0.03439989,0.008882582,0.0016766159,0.013393434,0.005481917,0.009945444,-0.012808449,-0.027756792,1.9266343e-05
21042,0.113611564,0.030394332,-0.21198386,-0.000222778,0.006486764,0.0035049585,0.0017082344,-0.0023301146,-0.093196765,0.00016428133,0.0058400068,0.0025451889,-0.05065392,0.01287247,0.032358654,-0.0011296277,-0.03148808,-0.026815241,-0.0051287482,0.050437067,0.029409267,0.15084104,0.014764273,0.14449161,0.024885332,0.045982953,0.02026597,-0.01794786,0.029702049,-0.13171318,-0.17951761,-0.10564528,-0.029198736,-1.0573772e-05,0.0,-0.040823083,-0.023386676,-0.024945918,-0.07935685,-0.05819195,0.0077490974,0.008250222,-0.021359397,-0.04179307,-0.013190317,0.035194032,0.005068115,-0.001376457,0.034950864,0.012985994,0.0022987358,0.011395809,0.0039034113,0.008029045,-0.013522941,-0.04630696,-4.2372103e-06
